Country,Subregion,Region,Country_code,Urban,Rural,Total,Percentage_urban,cnt
WORLD,WORLD,WORLD,900,4 219 817 318,3 413 002 007,7 632 819 325,55.3,NA
More developed regions,WORLD,More developed regions,901,993 837 090,269 362 587,1 263 199 677,78.7,NA
Less developed regions,WORLD,Less developed regions,902,3 225 980 228,3 143 639 420,6 369 619 648,50.6,NA
Least developed countries,WORLD,Less developed regions,941,344 291 432,681 645 302,1 025 936 734,33.6,NA
"Less developed regions, excluding least developed countries",WORLD,Less developed regions,934,2 881 688 796,2 461 994 118,5 343 682 914,53.9,NA
"Less developed regions, excluding China",WORLD,"Less developed regions, excluding China",948,2 362 378 537,2 560 439 789,4 922 818 326,48,NA
High-income countries,WORLD,High-income countries,1503,975 461 275,221 729 757,1 197 191 032,81.5,NA
Middle-income countries,WORLD,Middle-income countries,1517,3 017 642 113,2 719 999 603,5 737 641 716,52.6,NA
Upper-middle-income countries,WORLD,Middle-income countries,1502,1 759 117 809,881 117 010,2 640 234 819,66.6,NA
Lower-middle-income countries,WORLD,Middle-income countries,1501,1 258 524 304,1 838 882 593,3 097 406 897,40.6,NA
Low-income countries,WORLD,Low-income countries,1500,224 131 434,470 928 666,695 060 100,32.2,NA
Sub-Saharan Africa,WORLD,Sub-Saharan Africa,947,423 958 015,626 177 826,1 050 135 841,40.4,NA
AFRICA,AFRICA,AFRICA,903,547 602 182,740 318 336,1 287 920 518,42.5,NA
Eastern Africa,AFRICA,Eastern Africa,910,121 315 521,312 327 611,433 643 132,28,NA
Burundi,AFRICA,Eastern Africa,108,1 461 704,9 754 746,11 216 450,13,BDI
Comoros,AFRICA,Eastern Africa,174,241 092,591 255,832 347,29,COM
Djibouti,AFRICA,Eastern Africa,262,755 533,215 875,971 408,77.8,DJI
Eritrea,AFRICA,Eastern Africa,232,2 079 314,3 108 634,5 187 948,40.1,ERI
Ethiopia,AFRICA,Eastern Africa,231,22 327 769,85 207 113,107 534 882,20.8,ETH
Kenya,AFRICA,Eastern Africa,404,13 771 805,37 179 074,50 950 879,27,KEN
Madagascar,AFRICA,Eastern Africa,450,9 767 285,16 495 525,26 262 810,37.2,MDG
Malawi,AFRICA,Eastern Africa,454,3 245 933,15 918 795,19 164 728,16.9,MWI
Mauritius,AFRICA,Eastern Africa,480,517 387,750 928,1 268 315,40.8,MUS
Mayotte,AFRICA,Eastern Africa,175,119 837,139 845,259 682,46.1,MYT
Mozambique,AFRICA,Eastern Africa,508,10 986 620,19 542 053,30 528 673,36,MOZ
Réunion,AFRICA,Eastern Africa,638,879 399,3 848,883 247,99.6,REU
Rwanda,AFRICA,Eastern Africa,646,2 151 557,10 349 599,12 501 156,17.2,RWA
Seychelles,AFRICA,Eastern Africa,690,53 989,41 246,95 235,56.7,SYC
Somalia,AFRICA,Eastern Africa,706,6 827 415,8 354 510,15 181 925,45,SOM
South Sudan,AFRICA,Eastern Africa,728,2 534 064,10 384 989,12 919 053,19.6,SSD
Uganda,AFRICA,Eastern Africa,800,10 525 083,33 745 480,44 270 563,23.8,UGA
United Republic of Tanzania,AFRICA,Eastern Africa,834,19 958 545,39 132 847,59 091 392,33.8,TZA
Zambia,AFRICA,Eastern Africa,894,7 663 677,9 945 501,17 609 178,43.5,ZMB
Zimbabwe,AFRICA,Eastern Africa,716,5 447 513,11 465 748,16 913 261,32.2,ZWE
Middle Africa,AFRICA,Middle Africa,911,83 483 558,85 054 645,168 538 203,49.5,NA
Angola,AFRICA,Middle Africa,24,20 161 538,10 612 667,30 774 205,65.5,AGO
Cameroon,AFRICA,Middle Africa,120,13 912 132,10 766 102,24 678 234,56.4,CMR
Central African Republic,AFRICA,Middle Africa,140,1 959 587,2 777 836,4 737 423,41.4,CAF
Chad,AFRICA,Middle Africa,148,3 540 279,11 812 905,15 353 184,23.1,TCD
Congo,AFRICA,Middle Africa,178,3 613 400,1 786 495,5 399 895,66.9,COG
Democratic Republic of the Congo,AFRICA,Middle Africa,180,37 348 939,46 656 050,84 004 989,44.5,COD
Equatorial Guinea,AFRICA,Middle Africa,226,947 881,366 013,1 313 894,72.1,GNQ
Gabon,AFRICA,Middle Africa,266,1 847 776,219 785,2 067 561,89.4,GAB
Sao Tome and Principe,AFRICA,Middle Africa,678,152 026,56 792,208 818,72.8,STP
Northern Africa,AFRICA,Northern Africa,912,123 644 167,114 140 510,237 784 677,52,NA
Algeria,AFRICA,Northern Africa,12,30 510 016,11 498 038,42 008 054,72.6,DZA
Egypt,AFRICA,Northern Africa,818,42 437 529,56 938 212,99 375 741,42.7,EGY
Libya,AFRICA,Northern Africa,434,5 183 363,1 287 593,6 470 956,80.1,LBY
Morocco,AFRICA,Northern Africa,504,22 602 743,13 589 062,36 191 805,62.5,MAR
Sudan,AFRICA,Northern Africa,729,14 380 217,27 131 309,41 511 526,34.6,NA
Tunisia,AFRICA,Northern Africa,788,8 038 426,3 620 748,11 659 174,68.9,TUN
Western Sahara,AFRICA,Northern Africa,732,491 873,75 548,567 421,86.7,ESH
Southern Africa,AFRICA,Southern Africa,913,41 970 076,24 003 742,65 973 818,63.6,NA
Botswana,AFRICA,Southern Africa,72,1 620 326,712 875,2 333 201,69.4,BWA
Lesotho,AFRICA,Southern Africa,426,637 101,1 625 909,2 263 010,28.2,LSO
Namibia,AFRICA,Southern Africa,516,1 294 741,1 293 060,2 587 801,50,NA
South Africa,AFRICA,Southern Africa,710,38 086 769,19 311 652,57 398 421,66.4,ZAF
Swaziland,AFRICA,Southern Africa,748,331 139,1 060 246,1 391 385,23.8,SWZ
Western Africa,AFRICA,Western Africa,914,177 188 860,204 791 828,381 980 688,46.4,NA
Benin,AFRICA,Western Africa,204,5 434 128,6 051 546,11 485 674,47.3,BEN
Burkina Faso,AFRICA,Western Africa,854,5 798 770,13 952 881,19 751 651,29.4,BFA
Cabo Verde,AFRICA,Western Africa,132,363 715,189 620,553 335,65.7,CPV
Côte d'Ivoire,AFRICA,Western Africa,384,12 646 820,12 259 023,24 905 843,50.8,CIV
Gambia,AFRICA,Western Africa,270,1 325 730,838 035,2 163 765,61.3,GMB
Ghana,AFRICA,Western Africa,288,16 517 220,12 946 423,29 463 643,56.1,GHA
Guinea,AFRICA,Western Africa,324,4 717 171,8 335 437,13 052 608,36.1,GIN
Guinea-Bissau,AFRICA,Western Africa,624,826 994,1 080 274,1 907 268,43.4,GNB
Liberia,AFRICA,Western Africa,430,2 482 642,2 370 874,4 853 516,51.2,LBR
Mali,AFRICA,Western Africa,466,8 093 320,11 014 386,19 107 706,42.4,MLI
Mauritania,AFRICA,Western Africa,478,2 436 744,2 103 324,4 540 068,53.7,MRT
Niger,AFRICA,Western Africa,562,3 664 692,18 646 683,22 311 375,16.4,NER
Nigeria,AFRICA,Western Africa,566,98 610 801,97 264 436,195 875 237,50.3,NGA
Saint Helena,AFRICA,Western Africa,654,1 622,2 452,4 074,39.8,SHN
Senegal,AFRICA,Western Africa,686,7 689 641,8 604 629,16 294 270,47.2,SEN
Sierra Leone,AFRICA,Western Africa,694,3 246 502,4 473 227,7 719 729,42.1,SLE
Togo,AFRICA,Western Africa,768,3 332 348,4 658 578,7 990 926,41.7,TGO
ASIA,ASIA,ASIA,935,2 266 130 580,2 279 002 514,4 545 133 094,49.9,NA
Eastern Asia,ASIA,Eastern Asia,906,1 039 790 968,614 092 565,1 653 883 533,62.9,NA
China,ASIA,Eastern Asia,156,837 022 095,578 023 833,1 415 045 928,59.2,CHN
"China, Hong Kong SAR",ASIA,Eastern Asia,344,7 428 887,0,7 428 887,100,HKG
"China, Macao SAR",ASIA,Eastern Asia,446,632 418,0,632 418,100,MAC
"China, Taiwan Province of China",ASIA,Eastern Asia,158,18 518 291,5 175 798,23 694 089,78.2,TWN
Dem. People's Republic of Korea,ASIA,Eastern Asia,408,15 852 816,9 757 856,25 610 672,61.9,PRK
Japan,ASIA,Eastern Asia,392,116 521 525,10 663 807,127 185 332,91.6,JPN
Mongolia,ASIA,Eastern Asia,496,2 136 710,985 062,3 121 772,68.4,MNG
Republic of Korea,ASIA,Eastern Asia,410,41 678 226,9 486 209,51 164 435,81.5,KOR
South-Central Asia,ASIA,South-Central Asia,921,710 907 821,1 252 406 765,1 963 314 586,36.2,NA
Central Asia,ASIA,Central Asia,5500,34 625 723,37 234 742,71 860 465,48.2,NA
Kazakhstan,ASIA,Central Asia,398,10 568 980,7 834 880,18 403 860,57.4,KAZ
Kyrgyzstan,ASIA,Central Asia,417,2 229 369,3 903 563,6 132 932,36.4,KGZ
Tajikistan,ASIA,Central Asia,762,2 471 185,6 636 026,9 107 211,27.1,TJK
Turkmenistan,ASIA,Central Asia,795,3 018 967,2 832 499,5 851 466,51.6,TKM
Uzbekistan,ASIA,Central Asia,860,16 337 222,16 027 774,32 364 996,50.5,UZB
Southern Asia,ASIA,Southern Asia,5501,676 282 098,1 215 172 023,1 891 454 121,35.8,NA
Afghanistan,ASIA,Southern Asia,4,9 273 302,27 099 874,36 373 176,25.5,AFG
Bangladesh,ASIA,Southern Asia,50,60 944 245,105 423 904,166 368 149,36.6,BGD
Bhutan,ASIA,Southern Asia,64,334 138,482 916,817 054,40.9,BTN
India,ASIA,Southern Asia,356,460 779 764,893 272 090,1 354 051 854,34,IND
Iran (Islamic Republic of),ASIA,Southern Asia,364,61 425 055,20 586 680,82 011 735,74.9,IRN
Maldives,ASIA,Southern Asia,462,176 851,267 408,444 259,39.8,MDV
Nepal,ASIA,Southern Asia,524,5 847 671,23 776 364,29 624 035,19.7,NPL
Pakistan,ASIA,Southern Asia,586,73 630 430,127 183 388,200 813 818,36.7,PAK
Sri Lanka,ASIA,Southern Asia,144,3 870 642,17 079 399,20 950 041,18.5,LKA
South-Eastern Asia,ASIA,South-Eastern Asia,920,320 382 097,335 254 479,655 636 576,48.9,NA
Brunei Darussalam,ASIA,South-Eastern Asia,96,336 970,97 106,434 076,77.6,BRN
Cambodia,ASIA,South-Eastern Asia,116,3 799 521,12 446 208,16 245 729,23.4,KHM
Indonesia,ASIA,South-Eastern Asia,360,147 603 006,119 191 974,266 794 980,55.3,IDN
Lao People's Democratic Republic,ASIA,South-Eastern Asia,418,2 436 711,4 524 499,6 961 210,35,LAO
Malaysia,ASIA,South-Eastern Asia,458,24 363 730,7 678 728,32 042 458,76,MYS
Myanmar,ASIA,South-Eastern Asia,104,16 468 361,37 387 374,53 855 735,30.6,MMR
Philippines,ASIA,South-Eastern Asia,608,49 961 978,56 550 096,106 512 074,46.9,PHL
Singapore,ASIA,South-Eastern Asia,702,5 791 901,0,5 791 901,100,SGP
Thailand,ASIA,South-Eastern Asia,764,34 556 078,34 627 095,69 183 173,49.9,THA
Timor-Leste,ASIA,South-Eastern Asia,626,404 880,919 214,1 324 094,30.6,TLS
Viet Nam,ASIA,South-Eastern Asia,704,34 658 961,61 832 185,96 491 146,35.9,VNM
Western Asia,ASIA,Western Asia,922,195 049 694,77 248 705,272 298 399,71.6,NA
Armenia,ASIA,Western Asia,51,1 852 877,1 081 275,2 934 152,63.1,ARM
Azerbaijan,ASIA,Western Asia,31,5 525 646,4 398 268,9 923 914,55.7,AZE
Bahrain,ASIA,Western Asia,48,1 399 126,167 867,1 566 993,89.3,BHR
Cyprus,ASIA,Western Asia,196,794 433,394 652,1 189 085,66.8,CYP
Georgia,ASIA,Western Asia,268,2 290 836,1 616 295,3 907 131,58.6,GEO
Iraq,ASIA,Western Asia,368,27 723 807,11 615 946,39 339 753,70.5,IRQ
Israel,ASIA,Western Asia,376,7 811 919,640 922,8 452 841,92.4,ISR
Jordan,ASIA,Western Asia,400,9 010 373,893 429,9 903 802,91,JOR
Kuwait,ASIA,Western Asia,414,4 197 128,0,4 197 128,100,KWT
Lebanon,ASIA,Western Asia,422,5 398 411,695 098,6 093 509,88.6,LBN
Oman,ASIA,Western Asia,512,4 083 206,746 740,4 829 946,84.5,OMN
Qatar,ASIA,Western Asia,634,2 671 546,23 303,2 694 849,99.1,QAT
Saudi Arabia,ASIA,Western Asia,682,28 133 138,5 421 205,33 554 343,83.8,SAU
State of Palestine,ASIA,Western Asia,275,3 848 420,1 204 356,5 052 776,76.2,PSE
Syrian Arab Republic,ASIA,Western Asia,760,9 903 237,8 381 170,18 284 407,54.2,SYR
Turkey,ASIA,Western Asia,792,61 554 688,20 362 183,81 916 871,75.1,TUR
United Arab Emirates,ASIA,Western Asia,784,8 255 643,1 285 972,9 541 615,86.5,ARE
Yemen,ASIA,Western Asia,887,10 595 260,18 320 024,28 915 284,36.6,YEM
EUROPE,EUROPE,EUROPE,908,552 911 225,189 736 785,742 648 010,74.5,NA
Eastern Europe,EUROPE,Eastern Europe,923,203 247 639,88 705 689,291 953 328,69.6,NA
Belarus,EUROPE,Eastern Europe,112,7 428 871,2 023 242,9 452 113,78.6,BLR
