"","country","date","median","lower_90","upper_90","lower_50","upper_50"
"1","Afghanistan","2020-03-16",1.6,1,2.4,1.3,1.8
"2","Afghanistan","2020-03-17",1.6,1,2.3,1.3,1.8
"3","Afghanistan","2020-03-18",1.6,1,2.3,1.3,1.8
"4","Afghanistan","2020-03-19",1.6,1.1,2.2,1.3,1.8
"5","Afghanistan","2020-03-20",1.6,1.1,2.2,1.4,1.8
"6","Afghanistan","2020-03-21",1.6,1.1,2.1,1.4,1.8
"7","Afghanistan","2020-03-22",1.5,1.1,2,1.3,1.7
"8","Afghanistan","2020-03-23",1.5,1.1,2,1.3,1.7
"9","Afghanistan","2020-03-24",1.5,1.1,1.9,1.3,1.6
"10","Afghanistan","2020-03-25",1.4,1.1,1.8,1.3,1.6
"11","Afghanistan","2020-03-26",1.4,1,1.8,1.3,1.5
"12","Afghanistan","2020-03-27",1.4,1.1,1.8,1.2,1.5
"13","Afghanistan","2020-03-28",1.4,1,1.7,1.2,1.5
"14","Afghanistan","2020-03-29",1.3,1,1.6,1.2,1.4
"15","Afghanistan","2020-03-30",1.3,1,1.6,1.2,1.4
"16","Afghanistan","2020-03-31",1.3,1,1.6,1.2,1.4
"17","Afghanistan","2020-04-01",1.3,1,1.6,1.2,1.4
"18","Afghanistan","2020-04-02",1.3,1,1.6,1.2,1.4
"19","Afghanistan","2020-04-03",1.3,1,1.5,1.2,1.4
"20","Afghanistan","2020-04-04",1.3,1,1.5,1.2,1.3
"21","Afghanistan","2020-04-05",1.3,1,1.5,1.2,1.3
"22","Afghanistan","2020-04-06",1.2,1,1.5,1.2,1.3
"23","Afghanistan","2020-04-07",1.2,1,1.4,1.2,1.3
"24","Afghanistan","2020-04-08",1.2,1,1.4,1.1,1.3
"25","Afghanistan","2020-04-09",1.2,1,1.4,1.1,1.3
"26","Afghanistan","2020-04-10",1.2,1,1.4,1.1,1.3
"27","Afghanistan","2020-04-11",1.2,1,1.4,1.1,1.3
"28","Afghanistan","2020-04-12",1.2,1,1.4,1.1,1.3
"29","Afghanistan","2020-04-13",1.2,1,1.4,1.2,1.3
"30","Afghanistan","2020-04-14",1.2,1.1,1.5,1.2,1.3
"31","Afghanistan","2020-04-15",1.3,1.1,1.5,1.2,1.3
"32","Afghanistan","2020-04-16",1.3,1.1,1.5,1.2,1.3
"33","Afghanistan","2020-04-17",1.3,1.1,1.5,1.2,1.4
"34","Afghanistan","2020-04-18",1.3,1.1,1.5,1.2,1.4
"35","Afghanistan","2020-04-19",1.3,1.1,1.5,1.2,1.4
"36","Afghanistan","2020-04-20",1.3,1.2,1.5,1.3,1.4
